ticker,grade,composite_score,base_type,depth_pct,pivot_source,rs_percentile,power_rank,distance_to_pivot_pct,reward_to_risk,stop_price
UCB.BR,B,75.6,flat_base,13.6,flat_max_spike_filtered,56.4,46.2,-6.67,2.34,326.97
PHIA.AS,REJECT,36.5,flat_base,13.4,flat_max_spike_filtered,47.8,37.5,-3.84,2.32,30.9
GETI-B.ST,REJECT,0.0,standard_base,0.0,,,,0.0,,
REC.MI,REJECT,0.0,standard_base,0.0,,,,0.0,,
DIA.MI,REJECT,0.0,standard_base,0.0,,,,0.0,,
GRF.MC,REJECT,0.0,standard_base,0.0,,,,0.0,,
FAE.MC,REJECT,0.0,standard_base,0.0,,,,0.0,,
PZU.WA,B,74.0,flat_base,7.5,flat_max_spike_filtered,62.1,48.5,-2.91,4.22,70.41
EVN.VI,B,69.9,flat_base,9.4,flat_max_spike_filtered,45.8,36.5,-2.51,3.32,34.16
MC.PA,REJECT,0.0,standard_base,0.0,,,,0.0,,
KER.PA,REJECT,0.0,standard_base,0.0,,,,0.0,,
CFR.SW,REJECT,0.0,standard_base,0.0,,,,0.0,,
DGE.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
ULVR.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
ADS.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
PRY.MI,B,69.6,cup,20.6,cup_handle,55.4,45.0,-5.4,1.7,112.73
SIEGY,REJECT,0.0,standard_base,0.0,,,,0.0,,
SIE.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
AIR.PA,REJECT,0.0,standard_base,0.0,,,,0.0,,
SMIN.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
ATCO-A.ST,A,78.8,flat_base,9.6,flat_max_spike_filtered,81.3,56.3,-0.76,3.73,191.08
ATCO-B.ST,A,76.8,flat_base,8.5,flat_max_spike_filtered,73.1,50.1,-1.17,3.89,165.92
VOD.L,A,81.8,cup,20.2,cup_handle,81.3,63.2,-3.68,2.3,115.7
BT-A.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
DTE.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
TEF.MC,REJECT,0.0,standard_base,0.0,,,,0.0,,
KPN.AS,REJECT,0.0,standard_base,0.0,,,,0.0,,
EOAN.DE,B,75.0,flat_base,12.4,flat_max_spike_filtered,66.0,46.0,-2.15,3.51,21.64
ENGI.PA,A,76.6,flat_base,13.4,flat_max_spike_filtered,72.6,57.7,-1.74,3.14,30.83
NG.L,REJECT,51.2,cup,21.2,cup_handle,70.8,55.4,-2.82,3.21,1355.37
IBE.MC,REJECT,0.0,standard_base,0.0,,,,0.0,,
ENEL.MI,REJECT,0.0,standard_base,0.0,,,,0.0,,
RIO.L,A,82.8,cup,20.0,cup_handle,85.4,69.9,-3.07,1.78,6973.13
GLEN.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
LONN.SW,REJECT,0.0,standard_base,0.0,,,,0.0,,
BAS.DE,C,63.5,cup,17.7,cup_handle,56.1,41.6,-4.96,2.64,58.37
LAND.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
VNA.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
NESN.SW,REJECT,0.0,standard_base,0.0,,,,0.0,,
TSCO.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
DANOY,REJECT,0.0,standard_base,0.0,,,,0.0,,
HEIA.AS,REJECT,0.0,standard_base,0.0,,,,0.0,,
NXT.L,REJECT,0.0,standard_base,0.0,,,,0.0,,
ZAL.DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
CA.PA,REJECT,51.5,cup,15.0,cup_handle,72.1,52.8,-0.53,2.45,18.05
ADBE,REJECT,0.0,standard_base,0.0,,,,0.0,,
AMZN,REJECT,0.0,standard_base,0.0,,,,0.0,,
AVGO,REJECT,0.0,standard_base,0.0,,,,0.0,,
AXP,REJECT,0.0,standard_base,0.0,,,,0.0,,
BA,REJECT,0.0,standard_base,0.0,,,,0.0,,
BKNG,REJECT,0.0,standard_base,0.0,,,,0.0,,
CAT,REJECT,0.0,standard_base,0.0,,,,0.0,,
COST,REJECT,0.0,standard_base,0.0,,,,0.0,,
CRM,REJECT,0.0,standard_base,0.0,,,,0.0,,
CRWD,REJECT,0.0,standard_base,0.0,,,,0.0,,
DE,REJECT,0.0,standard_base,0.0,,,,0.0,,
GE,REJECT,48.8,cup,18.9,cup_handle,61.1,44.9,-1.51,2.36,329.69
GOOG,REJECT,0.0,standard_base,0.0,,,,0.0,,
GOOGL,REJECT,0.0,standard_base,0.0,,,,0.0,,
HD,REJECT,0.0,standard_base,0.0,,,,0.0,,
HON,REJECT,0.0,standard_base,0.0,,,,0.0,,
INTU,REJECT,0.0,standard_base,0.0,,,,0.0,,
ISRG,REJECT,0.0,standard_base,0.0,,,,0.0,,
JPM,REJECT,0.0,standard_base,0.0,,,,0.0,,
LOW,B,72.6,flat_base,12.0,flat_max_spike_filtered,68.4,51.5,-5.5,2.59,278.67
MA,REJECT,0.0,standard_base,0.0,,,,0.0,,
META,REJECT,0.0,standard_base,0.0,,,,0.0,,
MMM,REJECT,0.0,standard_base,0.0,,,,0.0,,
NFLX,REJECT,0.0,standard_base,0.0,,,,0.0,,
NOW,REJECT,0.0,standard_base,0.0,,,,0.0,,
ORCL,REJECT,0.0,standard_base,0.0,,,,0.0,,
PEP,REJECT,0.0,standard_base,0.0,,,,0.0,,
PLTR,REJECT,0.0,standard_base,0.0,,,,0.0,,
QCOM,REJECT,0.0,standard_base,0.0,,,,0.0,,
RTX,B,74.6,flat_base,11.0,flat_max_spike_filtered,64.3,48.9,-1.42,2.8,198.99
SBUX,REJECT,0.0,standard_base,0.0,,,,0.0,,
SNOW,REJECT,0.0,standard_base,0.0,,,,0.0,,
TMO,REJECT,0.0,standard_base,0.0,,,,0.0,,
V,REJECT,0.0,standard_base,0.0,,,,0.0,,
XOM,REJECT,0.0,standard_base,0.0,,,,0.0,,
BAC,REJECT,0.0,standard_base,0.0,,,,0.0,,
BK,REJECT,0.0,standard_base,0.0,,,,0.0,,
BLK,REJECT,0.0,standard_base,0.0,,,,0.0,,
BMO,REJECT,0.0,standard_base,0.0,,,,0.0,,
BNS,REJECT,0.0,standard_base,0.0,,,,0.0,,
C,REJECT,0.0,standard_base,0.0,,,,0.0,,
CFG,REJECT,47.6,cup,15.9,cup_handle,74.6,60.2,-7.76,2.31,64.83
CMCSA,REJECT,0.0,standard_base,0.0,,,,0.0,,
COF,REJECT,0.0,standard_base,0.0,,,,0.0,,
CSCO,REJECT,0.0,standard_base,0.0,,,,0.0,,
DDOG,REJECT,0.0,standard_base,0.0,,,,0.0,,
DELL,REJECT,0.0,standard_base,0.0,,,,0.0,,
DHI,REJECT,0.0,standard_base,0.0,,,,0.0,,
DIS,REJECT,0.0,standard_base,0.0,,,,0.0,,
