type,yahoo_symbol,trading212_symbol,benchmark_index,currency,sector,sub_industry,region,size,source,enabled
ticker,ENI.MI,,FTSEMIB.MI,,Energy,,Europe,,,Y
ticker,REP.MC,,^IBEX,,Energy,,Europe,Mega/Large,LargeCap,Y
ticker,EQNR.OL,,^OSEAX,,Energy,,Europe,,,Y
ticker,NOVN.SW,,^SSMI,,Health Care,,Europe,Mega/Large,LargeCap,Y
ticker,ROG.SW,,^SSMI,,Health Care,,Europe,Mega/Large,LargeCap,Y
ticker,GSK.L,,^FTSE,,Health Care,,UK,Mega/Large,LargeCap,Y
ticker,GS71.DE,GS71,^GDAXI,,,,Europe,Mega/Large,LargeCap,Y
ticker,WTAI,WTAI,^GSPC,,,,US,Mega/Large,LargeCap,Y
ticker,AZN.L,,^FTSE,,Health Care,,UK,Mega/Large,LargeCap,Y
ticker,HIK.L,,^FTSE,,Health Care,,UK,Mega/Large,LargeCap,Y
ticker,SAN.PA,,^FCHI,,Health Care,,Europe,Mega/Large,LargeCap,Y
ticker,IPS.PA,,^FCHI,,Health Care,,Europe,Mega/Large,LargeCap,Y
ticker,BAYN.DE,,^GDAXI,,Health Care,,Europe,Mega/Large,LargeCap,Y
ticker,MRK.DE,,^GDAXI,,Health Care,,Europe,Mega/Large,LargeCap,Y
ticker,FRE.DE,,^GDAXI,,Health Care,,Europe,Mega/Large,LargeCap,Y
ticker,EVT.DE,,^GDAXI,,Health Care,,Europe,Mega/Large,LargeCap,Y
ticker,NOVO-B.CO,,^OMXC25,,Health Care,,Europe,Mega/Large,LargeCap,Y
ticker,LUN.TO,,^GSPTSE,,Energy,Energy,Canada,Mega/Large,LargeCap,Y
ticker,UCB.BR,,^BFX,,Health Care,,Europe,,,Y
ticker,PHIA.AS,,^AEX,,Health Care,,Europe,Mega/Large,LargeCap,Y
ticker,PHG,,^AEX,,,,US,Mega/Large,LargeCap,Y
ticker,GETI-B.ST,,^OMX,,Health Care,,Europe,,,Y
ticker,REC.MI,,FTSEMIB.MI,,Health Care,,Europe,,,Y
ticker,DIA.MI,,FTSEMIB.MI,,Health Care,,Europe,,,Y
ticker,GRF.MC,,^IBEX,,Health Care,,Europe,Mega/Large,LargeCap,Y
ticker,FAE.MC,,^IBEX,,Health Care,,Europe,Mega/Large,LargeCap,Y
ticker,PZU.WA,,^WIG20,,Health Care,,Europe,,,Y
ticker,EVN.VI,,^ATX,,Health Care,,Europe,,,Y
ticker,MC.PA,,^FCHI,,Consumer Discretionary,,Europe,Mega/Large,LargeCap,Y
ticker,KER.PA,,^FCHI,,Consumer Discretionary,Consumer Products and Services,Europe,Mega/Large,LargeCap,Y
ticker,CFR.SW,,^SSMI,,Consumer Discretionary,,Europe,Mega/Large,LargeCap,Y
ticker,DGE.L,,^FTSE,,Consumer Discretionary,,UK,Mega/Large,LargeCap,Y
ticker,ULVR.L,,^FTSE,,Consumer Discretionary,,UK,Mega/Large,LargeCap,Y
ticker,ADS.DE,,^GDAXI,,Consumer Discretionary,,Europe,Mega/Large,LargeCap,Y
ticker,PRY.MI,,FTSEMIB.MI,,Consumer Discretionary,,Europe,,,Y
ticker,SIEGY,SIEGY,^GSPC,,Industrials,,US,Mega/Large,LargeCap,Y
ticker,SIE.DE,,^GDAXI,,Industrials,,Europe,Mega/Large,LargeCap,Y
ticker,SMIN.L,,^FTSE,,Industrials,,UK,Mega/Large,LargeCap,Y
ticker,ATCO-A.ST,,^OMX,,Industrials,,Europe,,,Y
ticker,ATCO-B.ST,,^OMX,,Industrials,,Europe,,,Y
ticker,VOD.L,,^FTSE,,Communication Services,,UK,Mega/Large,LargeCap,Y
ticker,BT-A.L,,^FTSE,,Communication Services,,UK,Mega/Large,LargeCap,Y
ticker,DTE.DE,,^GDAXI,,Information Technology,,Europe,Mega/Large,LargeCap,Y
ticker,TEF.MC,,^IBEX,,Communication Services,,Europe,Mega/Large,LargeCap,Y
ticker,KPN.AS,,^AEX,,Communication Services,,Europe,Mega/Large,LargeCap,Y
ticker,EOAN.DE,,^GDAXI,,Utilities,,Europe,Mega/Large,LargeCap,Y
ticker,ENGI.PA,,^FCHI,,Utilities,,Europe,Mega/Large,LargeCap,Y
ticker,NG.L,,^FTSE,,Utilities,,UK,Mega/Large,LargeCap,Y
ticker,IBE.MC,,^IBEX,,Utilities,,Europe,Mega/Large,LargeCap,Y
ticker,ENEL.MI,,FTSEMIB.MI,,Utilities,,Europe,,,Y
ticker,RIO.L,,^FTSE,,Materials,,UK,Mega/Large,LargeCap,Y
ticker,GLEN.L,,^FTSE,,Materials,,UK,Mega/Large,LargeCap,Y
ticker,LONN.SW,,^SSMI,,Materials,,Europe,Mega/Large,LargeCap,Y
ticker,BAS.DE,,^GDAXI,,Materials,,Europe,Mega/Large,LargeCap,Y
ticker,LAND.L,,^FTSE,,Real Estate,,UK,Mega/Large,LargeCap,Y
ticker,VNA.DE,,^GDAXI,,Real Estate,,Europe,Mega/Large,LargeCap,Y
ticker,NESN.SW,,^SSMI,,Consumer Staples,"Food, Beverage and Tobacco",Europe,Mega/Large,LargeCap,Y
ticker,TSCO.L,,^FTSE,,Consumer Staples,,UK,Mega/Large,LargeCap,Y
ticker,DANOY,DANOY,^GSPC,,Consumer Staples,,US,Mega/Large,LargeCap,Y
